customer_id,ref_date,offer_id,offer_name,p_convert,p_churn,ltv_hat,expected_value,rank
3,2025-12-21,UPSELL_PLANO,Upsell para plano,0.082018757871163,0.1830588922139399,273.4770383456619,5.660586296465164,1
4,2025-11-07,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.2141587822558907,0.3219975851869891,6119.175608214075,47.9145652455592,1
4,2025-11-07,DESCONTO_ABAST,Desconto no abastecimento,0.2141587822558907,0.3219975851869891,6119.175608214075,46.19774089067701,2
7,2025-10-04,UPSELL_PLANO,Upsell para plano,0.1750508877855291,0.2402671151779047,3497.6389539956976,45.99975196340309,1
7,2025-10-04,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1750508877855291,0.2402671151779047,3497.6389539956976,18.61737323450137,2
7,2025-10-04,DESCONTO_ABAST,Desconto no abastecimento,0.1750508877855291,0.2402671151779047,3497.6389539956976,16.11839099021195,3
9,2025-09-18,UPSELL_PLANO,Upsell para plano,0.175247917417516,0.1905061228808652,452.24451258868106,24.71482149493952,1
17,2025-09-04,UPSELL_PLANO,Upsell para plano,0.0776246810270707,0.1312201885528486,566.678988597524,5.731973614257759,1
21,2025-07-09,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.179565573285191,0.136819591785205,4557.7673133634,27.021519085965828,1
21,2025-07-09,DESCONTO_ABAST,Desconto no abastecimento,0.179565573285191,0.136819591785205,4557.7673133634,24.612830551669653,2
22,2025-09-30,UPSELL_PLANO,Upsell para plano,0.1618389524384084,0.1647949408538951,2785.8627215756283,37.165455618794034,1
22,2025-09-30,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1618389524384084,0.1647949408538951,2785.8627215756283,11.698807515224821,2
22,2025-09-30,DESCONTO_ABAST,Desconto no abastecimento,0.1618389524384084,0.1647949408538951,2785.8627215756283,8.935586563992988,3
23,2025-09-04,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1328891059601283,0.2603229515971375,2161.401944975928,4.14018959213783,1
23,2025-09-04,DESCONTO_ABAST,Desconto no abastecimento,0.1328891059601283,0.2603229515971375,2161.401944975928,0.797971711340395,2
26,2025-11-21,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.0931430139929485,0.3438528960552477,2373.83934242908,0.10426753330853522,1
26,2025-11-21,DESCONTO_ABAST,Desconto no abastecimento,0.0931430139929485,0.3438528960552477,2373.83934242908,-4.0328721868324955,2
34,2025-12-29,UPSELL_PLANO,Upsell para plano,0.2014716956950832,0.1131419864015449,5361.408120079458,69.47178463574683,1
34,2025-12-29,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.2014716956950832,0.1131419864015449,5361.408120079458,38.25838875995978,2
34,2025-12-29,DESCONTO_ABAST,Desconto no abastecimento,0.2014716956950832,0.1131419864015449,5361.408120079458,36.287822673861434,3
38,2025-12-02,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1272925954090515,0.1458736894170977,4162.430653261423,13.64910488187041,1
38,2025-12-02,DESCONTO_ABAST,Desconto no abastecimento,0.1272925954090515,0.1458736894170977,4162.430653261423,10.194956790051439,2
40,2025-11-26,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1672476833875869,0.2923436329588176,3775.5042698692296,19.111442628788396,1
40,2025-11-26,DESCONTO_ABAST,Desconto no abastecimento,0.1672476833875869,0.2923436329588176,3775.5042698692296,16.456396296540134,2
46,2025-08-13,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1718288400916726,0.1822013881507791,4147.369464161582,22.519516781548795,1
46,2025-08-13,DESCONTO_ABAST,Desconto no abastecimento,0.1718288400916726,0.1822013881507791,4147.369464161582,19.95609358338225,2
47,2025-09-09,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1802281458687565,0.2629896149298407,2156.1037241639933,9.851608165678368,1
47,2025-09-09,DESCONTO_ABAST,Desconto no abastecimento,0.1802281458687565,0.2629896149298407,2156.1037241639933,7.456171083053501,2
49,2025-08-08,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1283871399585659,0.2874471899869507,4179.981529129361,13.959784842731867,1
49,2025-08-08,DESCONTO_ABAST,Desconto no abastecimento,0.1283871399585659,0.2874471899869507,4179.981529129361,10.527527641903188,2
53,2025-08-17,UPSELL_PLANO,Upsell para plano,0.1898223861236246,0.2400248705646081,4577.218049308191,58.92236757936456,1
53,2025-08-17,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1898223861236246,0.2400248705646081,4577.218049308191,29.398121591438986,2
53,2025-08-17,DESCONTO_ABAST,Desconto no abastecimento,0.1898223861236246,0.2400248705646081,4577.218049308191,27.19456931391148,3
58,2025-10-04,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1807884364333225,0.1206593405677409,4679.540304829807,28.16786627264206,1
58,2025-10-04,DESCONTO_ABAST,Desconto no abastecimento,0.1807884364333225,0.1206593405677409,4679.540304829807,25.783635001308504,2
65,2025-07-08,UPSELL_PLANO,Upsell para plano,0.268041019444219,0.1390795103412014,4219.679033656082,83.48926629630233,1
65,2025-07-08,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.268041019444219,0.1390795103412014,4219.679033656082,42.62331847689058,2
65,2025-07-08,DESCONTO_ABAST,Desconto no abastecimento,0.268041019444219,0.1390795103412014,4219.679033656082,41.984138865774966,3
79,2025-10-05,UPSELL_PLANO,Upsell para plano,0.1571877765601332,0.1568777691937355,3995.7016807115992,43.41681830036971,1
79,2025-10-05,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1571877765601332,0.1568777691937355,3995.7016807115992,18.624590699150403,2
79,2025-10-05,DESCONTO_ABAST,Desconto no abastecimento,0.1571877765601332,0.1568777691937355,3995.7016807115992,15.768346230353067,3
81,2025-10-20,UPSELL_PLANO,Upsell para plano,0.2648122621410034,0.1079196985054542,2748.82626936904,66.78312329034983,1
81,2025-10-20,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.2648122621410034,0.1079196985054542,2748.82626936904,26.38534527990435,2
81,2025-10-20,DESCONTO_ABAST,Desconto no abastecimento,0.2648122621410034,0.1079196985054542,2748.82626936904,25.681590522724413,3
84,2025-11-29,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1247462512342636,0.2174585531456249,4169.2739462097015,13.170170599533026,1
84,2025-11-29,DESCONTO_ABAST,Desconto no abastecimento,0.1247462512342636,0.2174585531456249,4169.2739462097015,9.6650956242183,2
97,2025-12-24,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1063678223073146,0.098471506958647,2478.1041411357382,2.2664954184898765,1
97,2025-12-24,DESCONTO_ABAST,Desconto no abastecimento,0.1063678223073146,0.098471506958647,2478.1041411357382,-1.6061481353638314,2
104,2025-11-28,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.2001282181457869,0.105266207160849,2456.989702595345,14.673006482420675,1
104,2025-11-28,DESCONTO_ABAST,Desconto no abastecimento,0.2001282181457869,0.105266207160849,2456.989702595345,12.675570845336413,2
106,2025-08-11,UPSELL_PLANO,Upsell para plano,0.2086228414388619,0.282707111854909,2197.6470526558933,45.89128636318764,1
106,2025-08-11,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.2086228414388619,0.282707111854909,2197.6470526558933,13.640974354552672,2
106,2025-08-11,DESCONTO_ABAST,Desconto no abastecimento,0.2086228414388619,0.282707111854909,2197.6470526558933,11.81343118332991,3
108,2025-12-05,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.1071210165105319,0.2380801224963902,2411.215907761148,2.08091154049818,1
108,2025-12-05,DESCONTO_ABAST,Desconto no abastecimento,0.1071210165105319,0.2380801224963902,2411.215907761148,-1.7766681292911812,2
109,2025-12-08,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.2320715705557219,0.207454822944945,3456.918048026433,28.212600996966856,1
109,2025-12-08,DESCONTO_ABAST,Desconto no abastecimento,0.2320715705557219,0.207454822944945,3456.918048026433,26.854032408081295,2
114,2025-10-23,UPSELL_PLANO,Upsell para plano,0.1193299233998672,0.1775841302828661,279.9586170724167,12.815683825191467,1
115,2025-09-03,UPSELL_PLANO,Upsell para plano,0.2607398415244772,0.1107523684196121,4134.040903814133,80.04953827905405,1
115,2025-09-03,CASHBACK_PEDAGIO,Cashback leve em pedágio,0.2607398415244772,0.1107523684196121,4134.040903814133,40.242261258004845,2
115,2025-09-03,DESCONTO_ABAST,Desconto no abastecimento,0.2607398415244772,0.1107523684196121,4134.040903814133,39.45705808849439,3
117,2025-12-04,UPSELL_PLANO,Upsell para plano,0.0610127815644856,0.1910107657954892,578.8691750868502,2.395037422966926,1
119,2025-08-09,UPSELL_PLANO,Upsell para plano,0.2421724950658969,0.2461559698087684,2742.868335494599,60.16093984962026,1
